,Number of People,Number of Items,Optimal P-Envy,Wall Clock Time
342,12.0,1.0,1.0,0.009109973907470703
343,12.0,1.0,1.0,0.008563995361328125
344,12.0,1.0,1.0,0.008655309677124023
345,12.0,1.0,1.0,0.009392976760864258
346,12.0,1.0,1.0,0.008164167404174805
347,12.0,1.0,1.0,0.009212970733642578
348,12.0,1.0,1.0,0.007975339889526367
349,12.0,1.0,1.0,0.008185148239135742
350,12.0,1.0,1.0,0.008687734603881836
351,12.0,1.0,1.0,0.007982969284057617
352,12.0,1.0,1.0,0.008850812911987305
353,12.0,1.0,1.0,0.008816242218017578
354,12.0,1.0,1.0,0.009149789810180664
355,12.0,1.0,1.0,0.007914066314697266
356,12.0,1.0,1.0,0.009958028793334961
357,12.0,1.0,1.0,0.008054018020629883
358,12.0,1.0,1.0,0.011467933654785156
359,12.0,1.0,1.0,0.00879526138305664
360,13.0,1.0,1.0,0.009686946868896484
361,13.0,1.0,1.0,0.009102821350097656
362,13.0,1.0,1.0,0.009325981140136719
363,13.0,1.0,1.0,0.00855708122253418
364,13.0,1.0,1.0,0.010582685470581055
365,13.0,1.0,1.0,0.008422136306762695
366,13.0,1.0,1.0,0.009370088577270508
367,13.0,1.0,1.0,0.008619070053100586
368,13.0,1.0,1.0,0.008434772491455078
369,13.0,1.0,1.0,0.009030818939208984
370,13.0,1.0,1.0,0.009234189987182617
371,13.0,1.0,1.0,0.009100914001464844
372,13.0,1.0,1.0,0.00874018669128418
373,13.0,1.0,1.0,0.009137153625488281
374,13.0,1.0,1.0,0.008683919906616211
375,13.0,1.0,1.0,0.0086669921875
376,13.0,1.0,1.0,0.009098052978515625
377,13.0,1.0,1.0,0.008978128433227539
378,13.0,1.0,1.0,0.008557796478271484
379,13.0,1.0,1.0,0.008082866668701172
380,13.0,1.0,1.0,0.009219169616699219
381,13.0,1.0,1.0,0.007768869400024414
382,13.0,1.0,1.0,0.009037971496582031
383,13.0,1.0,1.0,0.009079933166503906
384,13.0,1.0,1.0,0.00899195671081543
385,13.0,1.0,1.0,0.009910106658935547
386,13.0,1.0,1.0,0.009037017822265625
387,13.0,1.0,1.0,0.010092020034790039
388,13.0,1.0,1.0,0.018594026565551758
389,13.0,1.0,1.0,0.009141921997070312
390,14.0,1.0,1.0,0.009510040283203125
391,14.0,1.0,1.0,0.008917093276977539
392,14.0,1.0,1.0,0.008725166320800781
393,14.0,1.0,1.0,0.00914907455444336
394,14.0,1.0,1.0,0.009150266647338867
395,14.0,1.0,1.0,0.008275985717773438
